review_id,stars
9r7_Gig9MlOesi9upn3_iw,4.0739917434
PTmGUdGB3uFhqyfAWFQjwA,3.5584756899
rXBH7bdWh-y_Bui4DPwXDg,3.8833819242
2vdoacpuFggZ68Wf5SoCHQ,3.5584756899
IG2CInbE0snsx690yKahsQ,3.2731591449
hopulvB3krQQirExRfpuCg,3.8964051024
D4xRhG8n8xi4tAI32uXN4A,5
ZkPH9A9hVrJOyDunzeDR0A,3.6791792959
DdG707zMf_ZM5uRi83erFA,3.6333333333
GBd2BkIVuQ40A-08Q1qcTg,2
UcW7MWFijnYrW5GdQtDRkw,4.5423728814
crqNxXL1EaQnoVicF9B6Hg,3.7443541102
Yh5zyPwxU1du943Wdx8jqw,5
3uiTnMXBZ_9eVNkf6i8kjA,5
3JBaNXj3xznVvOywwhMx0Q,1.8089552239
mPDnxml9pbvAjOFB4GcNbw,4.7465437788
5S4NR8v4yE27dp2n5vgEdg,3.7623797649
wd80xyrl6KmBQLb2RD5L6w,3.3136078538
Hjt4aQPfbBcR8-0EJWFOpQ,3.5570175439
nmGvrN6U5Lr1zHv7qfLWFw,3.4288247214
lHYd-AMxKi0WPw5vHDP-Vg,2.892897407
ivuqxjsBG4k0vknyuLlbFw,3.6791792959
R71p49rb6euznYhSf-hrOg,5
FDjwtb2YQH_VFq0Iavg5jg,3.3725490196
cq4tgl1_4JQ1Db67NuaW3g,3.3136078538
o0HBR-he6S2JkyFLqpCwTQ,3.8964051024
k4LUIhPi276XpwTVg7Mktg,3.9687549066
E-JYhs_EPQ6J9diD-kCHlw,3.7443541102
1n4LDYiDCZI5brREFiTYmA,3.9687549066
kIfVd_mWDWAHos3l7QyIpA,3.9687549066
dFQvq9YkLuEXLYTHEfjEmw,4.0892994611
1VyILQ_VnbViF3a7dfAOtw,3.6777316736
GbOb0pQzznoKPZ2ZrOTX1g,4.0655391121
G7Fp9OFxdqlHSiI-T54HTA,4.3365730742
JFZuOVb6JXcFPko8BNgmWA,3.4403874814
2mA_esu8hJfjs5GR1lkLzw,2.5
zuOzDiXLbqpr6s-cOdhbYQ,2.9049295775
Mt__7GfUMBWO5YfvMaqGaw,2.7551686616
8owzTdXCHtJm2uHPvnwDDQ,3.5176322418
gKjTf-Kg4n25JM6ThdCGjg,3.2731591449
Epbacb1oPVHzusceiU96LQ,3.7623797649
NgzmLgq7QdKAkR4MmcejfQ,3.7623797649
d3n63tPYt5Ycd8WslmPp6Q,3.7623797649
ZF_HDlB0A0Fm6BCQkOcnYw,5
CCXo36YPt9IvkdOyg3FOsA,3.6437831467
m1epDtXrqLLPrkf4GgAu7w,3.6437831467
i8Vo4OpRGcAsuRQSbd2iew,5
ZpPB_piD00QGEX7wG0Q8qg,3.6437831467
AAmDTwujLCxDT1TXPvgXGQ,3.6276041667
9nPsHn4x1AUbIuSTQb106Q,3.5176322418
QkUibT9qpfSXsIItBoIJiw,4.7465437788
Rzdcrp59YfoNh_iO9HLbxQ,3.5891891892
ReHXsAB4aqR1QCyhQJk8cg,4.1386635767
slMH5yc9KTgD2FFri0eHnw,4.4339325134
Nffhdl7Ha_oBgnzh7I_3WA,4.2332955832
RaoOa1pYelyRYoXEWyc7ZQ,4.7788161994
L0_0W2ou6CcDZnb0oVvzRw,4.2332955832
wrX1EBT0Mw_6CSplUpCNIA,3.3974895398
wqb2TVmujtx4CKplyS_70A,4.6624203822
Uwu0q2eWYpRVmGeKUJVgzA,4.1386635767
nUiQFoWUXgHxOuZQNPHETg,4.571747627
1rzapEWi5vfmByijs4hpJw,3.7541229385
r50ReVkC4MZckm8Y8ZmamQ,4.1654135338
qbFp7IOlY5SDPH9f_b0Uuw,4.8245901639
RRADHG765zM_Mv6zf1OJOg,4.571747627
